Date,Raid,Boss,Loot,Player,Loot Category,How Decided,Loot Number
5/24/2020,Onyxia,Onyxia,Helm of Wrath,Chadwell,,Roll,782
5/24/2020,Onyxia,Onyxia,Helmet of Ten Storms,,,DE,783
5/24/2020,Onyxia,Onyxia,Ring of Binding,Tombrocow,,Roll,784
5/24/2020,Onyxia,Onyxia,Head of Onyxia,Carstiendook,,Roll,785
5/30/2020,BWL,Razorgore,Netherwind Bindings,Blaw,T2,Roll,786
5/30/2020,BWL,Razorgore,Bloodfang Bracers,Zl,T2,Roll,787
5/30/2020,BWL,Razorgore,The Untamed Blade,Getlonely,,Roll,788
5/30/2020,BWL,Vaelastraz,Stormrage Belt,,T2,DE,789
5/30/2020,BWL,Vaelastraz,Dragonstalker's Belt,,T2,DE,790
5/30/2020,BWL,Vaelastraz,Rune of Metamorphosis,Kreation,,Roll,791
5/30/2020,BWL,Broodlord,Dragonstalker's Greaves,Blakepackers,T2,Loot Council,792
5/30/2020,BWL,Broodlord,Bloodfang Boots,Zl,T2,Loot Council,793
5/30/2020,BWL,Broodlord,Heartstriker,Ferv,,Roll,794
5/30/2020,BWL,Firemaw,Bloodfang Gloves,,T2,DE,795
5/30/2020,BWL,Firemaw,Cloak of Firemaw,Dylanger,,Loot Council,796
5/30/2020,BWL,Ebonroc,Netherwind Gloves,Carstiendook,T2,Loot Council,797
5/30/2020,BWL,Ebonroc,Band of Forced Concentration,Zandith,Big Loot,Loot Council,798
5/30/2020,BWL,Flamegor,Drake Talon Pauldrons,Sambro,Big Loot,Loot Council,799
5/30/2020,BWL,Flamegor,Shroud of Pure Thought,Maulzy,Big Loot,Loot Council,800
5/30/2020,BWL,Chromaggus,Stormrage Pauldrons,,T2,DE,801
5/30/2020,BWL,Chromaggus,Netherwind Mantle,Zandith,T2,Roll,802
5/30/2020,BWL,Chromaggus,Elementium Threaded Cloak,,,DE,803
5/30/2020,BWL,Chromaggus,Empowered Leggings,Clarota,Big Loot,Loot Council,804
5/30/2020,BWL,Nefarian,Dragonstalker's Breastplate,,T2,DE,805
5/30/2020,BWL,Nefarian,Netherwind Robes,Zandith,T2,Roll,806
5/30/2020,BWL,Nefarian,Mish'undare,Ellzik,Big Loot,Loot Council,807
5/30/2020,BWL,Nefarian,Neltharion's Tear,Angrysnape,Big Loot,Loot Council,808
5/30/2020,BWL,Nefarian,Head of Nefarian,Ppe,,Loot Council,809
5/30/2020,BWL,Trash,Ringo's Blizzard Boots,Blaw,,Roll,810
5/30/2020,MC,Lucifron,Gauntlets of Might,Wazn,T1,Roll,811
5/30/2020,MC,Lucifron,Arcanist Boots,Astrus,T1,Roll,812
5/30/2020,MC,Magmadar,Legplates of Might,Getlonely,T1,Roll,813
5/30/2020,MC,Magmadar,Arcanist Leggings,Astrus,T1,Roll,814
5/30/2020,MC,Magmadar,Talisman of Ephemeral Power,Oneblindman,,Loot Council,815
5/30/2020,MC,Gehennas,Earthfury Gauntlets,,,DE,816
5/30/2020,MC,Gehennas,Ring of Spell Power,Aoegrinder,,Loot Council,817
5/30/2020,MC,Garr,Earthfury Helmet,,T1,DE,818
5/30/2020,MC,Garr,Brutality Blade,Kaypossible,,Loot Council,819
5/30/2020,MC,Garr,Gutgore Ripper,Zl,,Roll,820
5/30/2020,MC,Baron Geddon,Arcanist Mantle,Astrus,T1,Roll,821
5/30/2020,MC,Baron Geddon,Deep Earth Spaulders,Cowburner,,Roll,822
5/30/2020,MC,Shazzrah,Giantstalker's Gloves,Kaypossible,T1,Roll,823
5/30/2020,MC,Shazzrah,Nightslayer Boots,,T1,DE,824
5/30/2020,MC,Sulfuron,Pauldrons of Might,Mikassa,T1,Roll,825
5/30/2020,MC,Sulfuron,Mantle of Prophecy,Dtmhhc,T1,Roll,826
5/30/2020,MC,Golemagg,Robes of Prophecy,Clarota,T1,Roll,827
5/30/2020,MC,Golemagg,Breastplate of Might,Wazn,T1,Roll,828
5/30/2020,MC,Golemagg,Blastershot Launcher,Wazn,,Roll,829
5/30/2020,MC,Majordomo,Sash of Whispered Secrets,Dtmhhc,,Roll,830
5/30/2020,MC,Majordomo,Fireproof Cloak,,,DE,831
5/30/2020,MC,Majordomo,Ancient Petrified Leaf,Kaypossible,,Loot Council,832
5/30/2020,MC,Ragnaros,Stormrage Legguards,,T2,DE,833
5/30/2020,MC,Ragnaros,Nemesis Leggings,,T2,DE,834
5/30/2020,MC,Ragnaros,Crown of Destruction,Kaypossible,,Roll,835
5/30/2020,MC,Ragnaros,Band of Accuria,Tombrocow,Big Loot,Loot Council,836
5/30/2020,MC,Trash,Arcanist Belt,,T1,Guild Bank,837
5/30/2020,Onyxia,Onyxia,Helmet of Ten Storms,,T2,DE,838
5/30/2020,Onyxia,Onyxia,Nemesis Skullcap,,T2,DE,839
5/30/2020,Onyxia,Onyxia,Sapphiron Drape,Carstiendook,,Roll,840
5/30/2020,Onyxia,Onyxia,Head of Onyxia,Wazn,,Roll,841
6/6/2020,BWL,Razorgore,Bloodfang Bracers,Ferv,T2,Loot Council,842
6/6/2020,BWL,Razorgore,Nemesis Bracers,Bankky,T2,Roll,843
6/6/2020,BWL,Razorgore,The Untamed Blade,Billcrittin,,Roll,844
6/6/2020,BWL,Vaelastraz,Bloodfang Belt,Vio,T2,Loot Council,845
6/6/2020,BWL,Vaelastraz,Bloodfang Belt,Dylanger,T2,Loot Council,846
6/6/2020,BWL,Vaelastraz,Rune of Metamorphosis,Tombrocow,,Roll,847
6/6/2020,BWL,Broodlord,Bloodfang Boots,Ferv,T2,Loot Council,848
6/6/2020,BWL,Broodlord,Boots of Transcendence,Clarota,T2,Loot Council,849
6/6/2020,BWL,Broodlord,Lifegiving Gem,Zquirlz,Big Loot,Loot Council,850
6/6/2020,BWL,Firemaw,Drake Talon Pauldrons,Ppe,Big Loot,Loot Council,851
6/6/2020,BWL,Firemaw,Primalist's Linked Legguards,Cowburner,,Roll,852
6/6/2020,BWL,Ebonroc,Gauntlets of Wrath,Billcrittin,T2,Roll,853
6/6/2020,BWL,Ebonroc,Drake Fang Talisman,Sambro,Big Loot,Loot Council,854
6/6/2020,BWL,Flamegor,Emberweave Leggings,Bwcstroker,,Roll,855
6/6/2020,BWL,Flamegor,Shadow Wing Focus Staff,Aoegrinder,,Roll,856
6/6/2020,BWL,Chromaggus,Bloodfang Spaulders,Vio,T2,Roll,857
6/6/2020,BWL,Chromaggus,Pauldrons of Transcendence,Stokington,T2,Loot Council,858
6/6/2020,BWL,Chromaggus,Elementium Threaded Cloak,,,DE,859
6/6/2020,BWL,Chromaggus,Angelista's Grasp,Carstiendook,,Roll,860
6/6/2020,BWL,Nefarian,Netherwind Robes,Oneblindman,T2,Roll,861
6/6/2020,BWL,Nefarian,Stormrage Chestguard,,T2,DE,862
6/6/2020,BWL,Nefarian,Boots of the Shadow Flame,Vio,Big Loot,Loot Council,863
6/6/2020,BWL,Nefarian,Prestor's Talisman of Connivery,Orgeth,Big Loot,Loot Council,864
6/6/2020,BWL,Nefarian,Head of Nefarian,Bwcstroker,,Loot Council,865
6/6/2020,BWL,Trash,Cloak of Draconic Might,Getlonely,Big Loot,Loot Council,866
6/6/2020,MC,Lucifron,Flamewaker Legplates,Getlonely,,Roll,867
6/6/2020,MC,Lucifron,Cenarion Boots,,T1,DE,868
6/6/2020,MC,Magmadar,Nightslayer Pants,,T1,DE,869
6/6/2020,MC,Magmadar,Medallion of Steadfast Might,,,DE,870
6/6/2020,MC,Magmadar,Quick Strike Ring,Getlonely,,Loot Council,871
6/6/2020,MC,Gehennas,Sabatons of Might,Ppe,T1,Roll,872
6/6/2020,MC,Gehennas,Gloves of Prophecy,Scartissue,T1,Roll,873
6/6/2020,MC,Garr,Giantstalker's Helmet,Kaypossible,T1,Roll,874
6/6/2020,MC,Garr,Gutgore Ripper,Bwcstroker,,Roll,875
6/6/2020,MC,Garr,Obsidian Edged Blade,Wazn,,Roll,876
6/6/2020,MC,Baron Geddon,Arcanist Mantle,Carpedenuts,T1,Roll,877
6/6/2020,MC,Baron Geddon,Earthfury Epaulets,,T1,DE,878
6/6/2020,MC,Baron Geddon,Bindings of the Windseeker,Zquirlz,Big Loot,Loot Council,879
6/6/2020,MC,Shazzrah,Cenarion Gloves,,T1,DE,880
6/6/2020,MC,Shazzrah,Nightslayer Boots,,T1,DE,881
6/6/2020,MC,Sulfuron,Pauldrons of Might,Ppe,T1,Roll,882
6/6/2020,MC,Sulfuron,Mantle of Prophecy,,T1,DE,883
6/6/2020,MC,Golemagg,Breastplate of Might,Billcrittin,T1,Roll,884
6/6/2020,MC,Golemagg,Felheart Robes,,T1,DE,885
6/6/2020,MC,Golemagg,Obsidian Edged Blade,Ppe,,Roll,886
6/6/2020,MC,Majordomo,Sash of Whispered Secrets,Parnok,,Roll,887
6/6/2020,MC,Majordomo,Gloves of Hypnotic Flame,,,DE,888
6/6/2020,MC,Majordomo,Ancient Petrified Leaf,,,DE,889
6/6/2020,MC,Ragnaros,Legplates of Ten Storms,Maulzy,T2,Loot Council,890
6/6/2020,MC,Ragnaros,Leggings of Transcendence,Vodkas,T2,Loot Council,891
6/6/2020,MC,Ragnaros,Essence of the Pure Flame,,,DE,892
6/6/2020,MC,Ragnaros,Band of Accuria,Dylanger,Big Loot,Loot Council,893
6/6/2020,MC,Trash,Bracers of Might,,T1,Guild Bank,894
6/6/2020,MC,Trash,Cenarion Bracers,,T1,Guild Bank,895
6/13/2020,BWL,Razorgore,Bracelets of Wrath,Zquirlz,T2,Loot Council,896
6/13/2020,BWL,Razorgore,Bracers of Ten Storms,Cowburner,T2,Loot Council,897
6/13/2020,BWL,Razorgore,Mantle of the Blackwing Cabal,Kreation,Big Loot,Loot Council,898
6/13/2020,BWL,Vaelastraz,Waistband of Wrath,Ppe,T2,Roll,899
6/13/2020,BWL,Vaelastraz,Bloodfang Belt,Greenbastrd,T2,Loot Council,900
6/13/2020,BWL,Vaelastraz,Rune of Metamorphosis,,,DE,901
6/13/2020,BWL,Broodlord,Sabatons of Wrath,Ppe,T2,Loot Council,902
6/13/2020,BWL,Broodlord,Netherwind Boots,Oneblindman,T2,Roll,903
6/13/2020,BWL,Broodlord,Black Brood Pauldrons,Nuz,,Loot Council,904
6/13/2020,BWL,Firemaw,Firemaw's Clutch,Stokington,,Loot Council,905
6/13/2020,BWL,Firemaw,Ring of Blackrock,Mnite,,Loot Council,906
6/13/2020,BWL,Ebonroc,Stormrage Handguards,,T2,DE,907
6/13/2020,BWL,Ebonroc,Band of Forced Concentration,Wasian,Big Loot,Loot Council,908
6/13/2020,BWL,Flamegor,Handguards of Transcendence,Izeliaog,T2,Loot Council,909
6/13/2020,BWL,Flamegor,Emberweave Leggings,Nuz,,Roll,910
6/13/2020,BWL,Chromaggus,Pauldrons of Transcendence,Scartissue,T2,Loot Council,911
6/13/2020,BWL,Chromaggus,Netherwind Mantle,Aoegrinder,T2,Roll,912
6/13/2020,BWL,Chromaggus,Angelista's Grasp,Kreation,,Roll,913
6/13/2020,BWL,Chromaggus,Ashjre'thul,Blakepackers,Big Loot,Loot Council,914
6/13/2020,BWL,Nefarian,Robes of Transcendence,Vodkas,T2,Loot Council,915
6/13/2020,BWL,Nefarian,Breastplate of Wrath,Chadwell,T2,Roll,916
6/13/2020,BWL,Nefarian,Cloak of the Brood Lord,Scartissue,,Roll,917
6/13/2020,BWL,Nefarian,Staff of the Shadow Flame,Zandith,Big Loot,Loot Council,918
6/13/2020,BWL,Nefarian,Head of Nefarian,Getlonely,,Loot Council,919
6/13/2020,MC,Lucifron,Cenarion Boots,,T1,DE,920
6/13/2020,MC,Lucifron,Crimson Shocker,Carstiendook,,Roll,921
6/13/2020,MC,Magmadar,Nightslayer Pants,Vio,T1,Loot Council,922
6/13/2020,MC,Magmadar,Medallion of Steadfast Might,Grynneslaps,,Roll,923
6/13/2020,MC,Magmadar,Eshkandar's Right Claw,Ppe,,Loot Council,924
6/13/2020,MC,Gehennas,Sabatons of Might,Zquirlz,T1,Loot Council,925
6/13/2020,MC,Gehennas,Nightslayer Gloves,,T1,DE,926
6/13/2020,MC,Garr,Cenarion Helm,,T1,DE,927
6/13/2020,MC,Garr,Nightslayer Cover,Dylanger,T1,Loot Council,928
6/13/2020,MC,Garr,Brutality Blade,Nuz,,Loot Council,929
6/13/2020,MC,Baron Geddon,Felheart Shoulder Pads,,T1,DE,930
6/13/2020,MC,Baron Geddon,Cenarion Spaulders,,T1,DE,931
6/13/2020,MC,Shazzrah,Giantstalker's Gloves,Nuz,T1,Loot Council,932
6/13/2020,MC,Shazzrah,Boots of Prophecy,,T1,DE,933
6/13/2020,MC,Sulfuron,Nightslayer Shoulder Pads,Dylanger,T1,Loot Council,934
6/13/2020,MC,Sulfuron,Mantle of Prophecy,,T1,DE,935
6/13/2020,MC,Golemagg,Giantstalker's Breastplate,Nuz,T1,Loot Council,936
6/13/2020,MC,Golemagg,Nightslayer Chestpiece,,T1,DE,937
6/13/2020,MC,Golemagg,Azuresong Mageblade,Theymademedo,,Loot Council,938
6/13/2020,MC,Majordomo,Cauterizing Band,Izeliaog,Big Loot,Loot Council,939
6/13/2020,MC,Majordomo,Gloves of Hypnotic Flame,Astrus,,Roll,940
6/13/2020,MC,Majordomo,Ancient Petrified Leaf,Nuz,,Loot Council,941
6/13/2020,MC,Ragnaros,Stormrage Legguards,,T2,DE,942
6/13/2020,MC,Ragnaros,Netherwind Pants,Carstiendook,T2,Loot Council,943
6/13/2020,MC,Ragnaros,Dragon's Blood Cape,Wazn,,Roll,944
6/13/2020,MC,Ragnaros,Essence of the Pure Flame,Chadwell,,Roll,945
6/13/2020,MC,Trash,Arcanist Bindings,,T1,Guild Bank,946
6/13/2020,MC,Trash,Giantstalker's Bracers,Nuz,T1,Loot Council,947
6/13/2020,MC,Trash,Vambraces of Prophecy,,T1,Guild Bank,948
6/14/2020,Onyxia,Onyxia,Netherwind Crown,Aoegrinder,T2,Roll,949
6/14/2020,Onyxia,Onyxia,Nemesis Skullcap,,T2,DE,950
6/14/2020,Onyxia,Onyxia,Ring of Binding,Chadwell,,Roll,951
6/14/2020,Onyxia,Onyxia,Head of Onyxia,Grynneslaps,,Roll,952
6/20/2020,BWL,Razorgore,Nemesis Bracers,Theymademedo,T2,Roll,953
6/20/2020,BWL,Razorgore,Bracers of Ten Storms,Xestius,T2,Loot Council,954
6/20/2020,BWL,Razorgore,Spineshatter,Orlin,,Roll,955
6/20/2020,BWL,Vaelastraz,Bloodfang Belt,,T2,DE,956
6/20/2020,BWL,Vaelastraz,Bloodfang Belt,,T2,DE,957
6/20/2020,BWL,Vaelastraz,Rune of Metamorphosis,Moonkong,,Roll,958
6/20/2020,BWL,Broodlord,Stormrage Boots,Moonkong,T2,Loot Council,959
6/20/2020,BWL,Broodlord,Nemesis Boots,Theymademedo,T2,Roll,960
6/20/2020,BWL,Broodlord,Lifegiving Gem,Ppe,,Roll,961
6/20/2020,BWL,Firemaw,Stormrage Handguards,Moonkong,T2,Loot Council,962
6/20/2020,BWL,Firemaw,Cloak of Firemaw,Ferv,,Loot Council,963
6/20/2020,BWL,Ebonroc,Dragonstalker's Gauntlets,Ffxivsux,T2,Loot Council,964
6/20/2020,BWL,Ebonroc,Ebony Flame Gloves,Theymademedo,,Roll,965
6/20/2020,BWL,Flamegor,Netherwind Gloves,Wasian,T2,Roll,966
6/20/2020,BWL,Flamegor,Styleen's Impending Scarab,Ppe,,Roll,967
6/20/2020,BWL,Chromaggus,Stormrage Pauldrons,Moonkong,T2,Loot Council,968
6/20/2020,BWL,Chromaggus,Pauldrons of Transcendence,,T2,DE,969
6/20/2020,BWL,Chromaggus,Elementium Threaded Cloak,Atloy,,Roll,970
6/20/2020,BWL,Chromaggus,Angelista's Grasp,Moonkong,,Roll,971
6/20/2020,BWL,Nefarian,Netherwind Robes,Carstiendook,T2,Roll,972
6/20/2020,BWL,Nefarian,Netherwind Robes,Aoegrinder,T2,Roll,973
6/20/2020,BWL,Nefarian,Mish'undare,Oneblindman,Big Loot,Loot Council,974
6/20/2020,BWL,Nefarian,Neltharion's Tear,Theymademedo,Big Loot,Loot Council,975
6/20/2020,BWL,Nefarian,Head of Nefarian,Kaypossible,,Loot Council,976
6/20/2020,BWL,Trash,Cloak of Draconic Might,Bwcstroker,Big Loot,Loot Council,977
6/20/2020,BWL,Trash,Doom's Edge,Grynneslaps,,Loot Council,978
6/20/2020,MC,Lucifron,Earthfury Boots,,T1,DE,979
6/20/2020,MC,Lucifron,Felheart Gloves,,T1,DE,980
6/20/2020,MC,Magmadar,Medallion of Steadfast Might,Mikassa,,Roll,981
6/20/2020,MC,Magmadar,Pants of Prophecy,Dtmhhc,T1,Loot Council,982
6/20/2020,MC,Magmadar,Aged Core Leather Gloves,Sambro,,Loot Council,983
6/20/2020,MC,Gehennas,Giantstalker's Boots,Nuz,T1,Loot Council,984
6/20/2020,MC,Gehennas,Earthfury Gauntlets,Xestius,T1,Loot Council,985
6/20/2020,MC,Garr,Giantstalker's Helmet,Nuz,T1,Loot Council,986
6/20/2020,MC,Garr,Felheart Horns,,T1,DE,987
6/20/2020,MC,Garr,Quick Strike Ring,Grynneslaps,,Loot Council,988
6/20/2020,MC,Baron Geddon,Arcanist Mantle,,T1,DE,989
6/20/2020,MC,Baron Geddon,Aged Core Leather Gloves,Mikassa,,Roll,990
6/20/2020,MC,Shazzrah,Arcanist Gloves,Carstiendook,T1,Loot Council,991
6/20/2020,MC,Shazzrah,Nightslayer Boots,Ferv,T1,Loot Council,992
6/20/2020,MC,Sulfuron,Nightslayer Shoulder Pads,,T1,DE,993
6/20/2020,MC,Sulfuron,Shadowstrike,Orlin,,Roll,994
6/20/2020,MC,Golemagg,Breastplate of Might,Orlin,T1,Roll,995
6/20/2020,MC,Golemagg,Felheart Robes,,T1,DE,996
6/20/2020,MC,Golemagg,Blastershot Launcher,,,Roll,997
6/20/2020,MC,Majordomo,Fireproof Cloak,Grynneslaps,,Roll,998
6/20/2020,MC,Majordomo,Cauterizing Band,Vodkas,Big Loot,Loot Council,999
6/20/2020,MC,Majordomo,Ancient Petrified Leaf,,,DE,1000
6/20/2020,MC,Ragnaros,Legplates of Wrath,Zquirlz,T2,Loot Council,1001
6/20/2020,MC,Ragnaros,Nemesis Leggings,,T2,DE,1002
6/20/2020,MC,Ragnaros,Dragon's Blood Cape,,,DE,1003
6/20/2020,MC,Ragnaros,Perdition's Blade,Zquirlz,Big Loot,Loot Council,1004
6/20/2020,MC,Ragnaros,Bonereaver's Edge,Wazn,,Roll,1005
6/20/2020,Onyxia,Onyxia,Helmet of Ten Storms,Xestius,T2,Loot Council,1006
6/20/2020,Onyxia,Onyxia,Stormrage Cover,,T2,DE,1007
6/20/2020,Onyxia,Onyxia,Ring of Binding,,,DE,1008
6/20/2020,Onyxia,Onyxia,Viskag,Dylanger,,Roll,1009
6/20/2020,Onyxia,Onyxia,Head of Onyxia,Nuz,,Loot Council,1010
6/27/2020,BWL,Razorgore,Stormrage Bracers,Drukong,T2,Loot Council,1011
6/27/2020,BWL,Razorgore,Netherwind Bracers,Carstiendook,T2,Roll,1012
6/27/2020,BWL,Razorgore,Gloves of Rapid Evolution,,,DE,1013
6/27/2020,BWL,Vaelastraz,Waistband of Wrath,Chadwell,T2,Roll,1014
6/27/2020,BWL,Vaelastraz,Belt of Ten Storms,Xestius,T2,Loot Council,1015
6/27/2020,BWL,Vaelastraz,Helm of Endless Rage,Orlin,,Roll,1016
6/27/2020,BWL,Broodlord,Netherwind Boots,Carstiendook,T2,Roll,1017
6/27/2020,BWL,Broodlord,Bloodfang Boots,Dylanger,T2,Roll,1018
6/27/2020,BWL,Broodlord,Lifegiving Gem,Grynneslaps,,Roll,1019
6/27/2020,BWL,Firemaw,Nemesis Gloves,,T2,DE,1020
6/27/2020,BWL,Firemaw,Firemaw's Clutch,Mapel,,Loot Council,1021
6/27/2020,BWL,Ebonroc,Stormrage Handguards,Moonkong,T2,Roll,1022
6/27/2020,BWL,Ebonroc,Aegis of Preservation,Vodkas,,Roll,1023
6/27/2020,BWL,Flamegor,Gauntlets of Wrath,Ppe,T2,Roll,1024
6/27/2020,BWL,Flamegor,Shroud of Pure Thought,Mnite,Big Loot,Loot Council,1025
6/27/2020,BWL,Chromaggus,Stormrage Pauldrons,Drukong,T2,Roll,1026
6/27/2020,BWL,Chromaggus,Epaulets of Ten Storms,Maulzy,T2,Loot Council,1027
6/27/2020,BWL,Chromaggus,Shimmering Geta,,,DE,1028
6/27/2020,BWL,Chromaggus,Angelista's Grasp,Scartissue,,Roll,1029
6/27/2020,BWL,Nefarian,Nemesis Robes,Theymademedo,T2,Loot Council,1030
6/27/2020,BWL,Nefarian,Bloodfang Chestpiece,Jmills,T2,Loot Council,1031
6/27/2020,BWL,Nefarian,Pure Elementium Band,Suthernheals,Big Loot,Loot Council,1032
6/27/2020,BWL,Nefarian,Lok'amir,Atloy,Big Loot,Loot Council,1033
6/27/2020,BWL,Nefarian,Head of Nefarian,Nuz,,Loot Council,1034
6/27/2020,BWL,Trash,Band of Dark Dominion,Scartissue,Big Loot,Loot Council,1035
6/27/2020,MC,Lucifron,Arcanist Boots,,T1,DE,1036
6/27/2020,MC,Lucifron,Felheart Gloves,,T1,DE,1037
6/27/2020,MC,Magmadar,Arcanist Leggings,Carstiendook,T1,Roll,1038
6/27/2020,MC,Magmadar,Cenarion Leggings,,T1,DE,1039
6/27/2020,MC,Magmadar,Talisman of Ephemeral Power,Aoegrinder,,Loot Council,1040
6/27/2020,MC,Gehennas,Gloves of Prophecy,Dtmhhc,,Loot Council,1041
6/27/2020,MC,Gehennas,Crimson Shocker,Theymademedo,,Roll,1042
6/27/2020,MC,Garr,Earthfury Helmet,Mapel,T1,Loot Council,1043
6/27/2020,MC,Garr,Sabatons of the Flamewalker,Xestius,,Roll,1044
6/27/2020,MC,Garr,Gutgore Ripper,Bmurda,,Loot Council,1045
6/27/2020,MC,Baron Geddon,Earthfury Epaulets,Mapel,T1,Loot Council,1046
6/27/2020,MC,Baron Geddon,Felheart Shoulder Pads,,T1,DE,1047
6/27/2020,MC,Shazzrah,Arcanist Gloves,Carstiendook,T1,Roll,1048
6/27/2020,MC,Shazzrah,Robe of Volatile Power,Ellzik,,Loot Council,1049
6/27/2020,MC,Sulfuron,Crimson Shocker,Dtmhhc,,Roll,1050
6/27/2020,MC,Sulfuron,Shadowstriker,,,DE,1051
6/27/2020,MC,Golemagg,Earthfury Vestments,Mapel,T1,Loot Council,1052
6/27/2020,MC,Golemagg,Felheart Robes,,T1,DE,1053
6/27/2020,MC,Golemagg,Azuresong Mageblade,Blaw,,Loot Council,1054
6/27/2020,MC,Majordomo,Fireguard Shoulders,Ppe,,Loot Council,1055
6/27/2020,MC,Majordomo,Cauterizing Band,Stokington,Big Loot,Loot Council,1056
6/27/2020,MC,Majordomo,Ancient Petrified Leaf,,,DE,1057
6/27/2020,MC,Ragnaros,Nemesis Leggings,,T2,DE,1058
6/27/2020,MC,Ragnaros,Leggings of Transcendence,Dtmhhc,T2,Loot Council,1059
6/27/2020,MC,Ragnaros,Dragon's Blood Cape,,,DE,1060
6/27/2020,MC,Ragnaros,Band of Sulfuras,Mapel,,Roll,1061
6/27/2020,MC,Trash,Earthfury Belt,,T1,Guild Bank,1062
6/27/2020,MC,Trash,Earthfury Belt,,T1,Guild Bank,1063
6/27/2020,MC,Trash,Cenarion Belt,,T1,Guild Bank,1064
6/27/2020,MC,Trash,Nightslayer Belt,,T1,Guild Bank,1065
6/27/2020,MC,Trash,Earthfury Belt,,T1,Guild Bank,1066
6/27/2020,MC,Trash,Earthfury Belt,,T1,Guild Bank,1067
6/27/2020,Onyxia,Onyxia,Helmet of Ten Storms,,T2,DE,1068
6/27/2020,Onyxia,Onyxia,Netherwind Crown,Carstiendook,T2,Roll,1069
6/27/2020,Onyxia,Onyxia,Eshkandar's Collar,Atloy,,Roll,1070
6/27/2020,Onyxia,Onyxia,Head of Onyxia,Mikassa,,Loot Council,1071
7/5/2020,BWL,Razorgore,Bracelets of Wrath,Bmurda,T2,Roll,1072
7/5/2020,BWL,Razorgore,Stormrage Bracers,Moonkong,T2,Loot Council,1073
7/5/2020,BWL,Razorgore,The Black Book,Bankky,,Roll,1074
7/5/2020,BWL,Vaelastraz,Bloodfang Belt,,T2,DE,1075
7/5/2020,BWL,Vaelastraz,Belt of Transcendence,Stokington,T2,Loot Council,1076
7/5/2020,BWL,Vaelastraz,Pendant of the Fallen Dragon,Xestius,,Roll,1077
7/5/2020,BWL,Broodlord,Bloodfang Boots,,T2,DE,1078
7/5/2020,BWL,Broodlord,Dragonstalker's Greaves,Nuz,T2,Loot Council,1079
7/5/2020,BWL,Broodlord,Bracers of Arcane Accuracy,Blaw,Big Loot,Loot Council,1080
7/5/2020,BWL,Firemaw,Gauntlets of Wrath,Grynneslaps,T2,Roll,1081
7/5/2020,BWL,Firemaw,Black Ash Robe,Moonkong,,Roll,1082
7/5/2020,BWL,Ebonroc,Taut Dragonhide Belt,Atloy,,Roll,1083
7/5/2020,BWL,Ebonroc,Band of Forced Concentration,Aoegrinder,Big Loot,Loot Council,1084
7/5/2020,BWL,Flamegor,Bloodfang Gloves,,T2,DE,1085
7/5/2020,BWL,Flamegor,Emberweave Leggings,Kaypossible,,Roll,1086
7/5/2020,BWL,Chromaggus,Dragonstalker's Spaulders,Orgeth,T2,Loot Council,1087
7/5/2020,BWL,Chromaggus,Bloodfang Spaulders,,T2,DE,1088
7/5/2020,BWL,Chromaggus,Primalist's Linked Waistguard,Cowburner,,Roll,1089
7/5/2020,BWL,Chromaggus,Chromatic Boots,Sambro,Big Loot,Loot Council,1090
7/5/2020,BWL,Nefarian,Breastplate of Ten Storms,Cowburner,T2,Loot Council,1091
7/5/2020,BWL,Nefarian,Breastplate of Wrath,Bmurda,T2,Roll,1092
7/5/2020,BWL,Nefarian,Crul'shorukh,Chadwell,Big Loot,Loot Council,1093
7/5/2020,BWL,Nefarian,Neltharion's Tear,Kreation,Big Loot,Loot Council,1094
7/5/2020,BWL,Nefarian,Head of Nefarian,Mikassa,,Loot Council,1095
7/5/2020,MC,Lucifron,Earthfury Boots,,T1,DE,1096
7/5/2020,MC,Lucifron,Heavy Dark Iron Ring,Mandalorien,,Roll,1097
7/5/2020,MC,Magmadar,Earthfury Legguards,,T1,DE,1098
7/5/2020,MC,Magmadar,Quick Strike Ring,Mikassa,,Loot Council,1099
7/5/2020,MC,Magmadar,Striker's Mark,Zl,,Loot Council,1100
7/5/2020,MC,Gehennas,Nightslayer Gloves,,T1,DE,1101
7/5/2020,MC,Gehennas,Helm of the Lifegiver,Nidria,,Loot Council,1102
7/5/2020,MC,Garr,Arcanist Crown,Carstiendook,T1,Loot Council,1103
7/5/2020,MC,Garr,Drillborer Disk,Mikassa,,Roll,1104
7/5/2020,MC,Garr,Brutality Blade,Mikassa,,Loot Council,1105
7/5/2020,MC,Baron Geddon,Felheart Shoulder Pads,,T1,DE,1106
7/5/2020,MC,Baron Geddon,Cenarion Spaulders,,T1,DE,1107
7/5/2020,MC,Shazzrah,Heavy Dark Iron Ring,Sambro,,Roll,1108
7/5/2020,MC,Shazzrah,Giantstalker's Gloves,,T1,DE,1109
7/5/2020,MC,Sulfuron,Pauldrons of Might,Mandalorien,T1,Roll,1110
7/5/2020,MC,Sulfuron,Shadowstrike,,,DE,1111
7/5/2020,MC,Golemagg,Cenarion Vestments,,T1,DE,1112
7/5/2020,MC,Golemagg,Arcanist Robes,,T1,DE,1113
7/5/2020,MC,Golemagg,Aged Core Leather Gloves,Ppe,,Roll,1114
7/5/2020,MC,Majordomo,Core Forged Greaves,,,DE,1115
7/5/2020,MC,Majordomo,Core Hound Tooth,Ppe,,Loot Council,1116
